region,month,temperature_c,humidity_pct,pressure_hpa,wind_speed_kph,precip_mm,cloud_cover_pct,condition
Central,3,30.89,43.54,1006.37,10.23,14.39,66.98,Sunny
North,10,25.31,59.37,1008.18,6.75,15.17,56.74,Cloudy
South,4,34.76,71.94,1010.19,9.75,8.0,29.11,Cloudy
East,7,27.0,89.73,1016.08,9.1,20.81,62.58,Rain
West,3,31.7,48.72,1010.08,13.55,10.25,46.32,Sunny
East,12,25.24,49.08,1011.08,9.21,20.88,88.65,Sunny
West,8,23.94,77.51,1007.29,11.51,17.88,53.11,Rain
East,5,32.07,78.6,1017.57,6.14,8.5,29.82,Sunny
Central,11,26.5,78.65,999.02,13.86,20.79,62.36,Rain
West,8,25.94,63.2,1002.77,9.84,19.43,63.08,Cloudy
West,9,29.95,85.92,1010.94,10.36,14.0,44.2,Rain
Central,4,34.34,61.61,1011.13,13.63,14.49,45.32,Sunny
East,8,28.53,73.61,1015.01,11.64,21.21,81.59,Rain
South,7,30.27,73.53,1003.45,17.49,18.5,52.73,Rain
South,3,37.12,69.18,1009.08,9.52,12.29,28.86,Sunny
North,9,26.14,67.14,1009.92,9.97,15.0,53.94,Cloudy
East,12,22.4,59.65,1009.28,21.94,20.29,51.07,Sunny
Central,4,36.74,59.32,1013.63,9.2,23.88,94.02,Cloudy
North,7,25.11,74.3,1025.74,16.22,20.74,100.0,Rain
West,1,17.11,35.54,1018.89,15.69,4.22,12.73,Cloudy
Central,3,36.51,54.66,998.87,7.7,6.0,33.56,Sunny
South,4,34.45,57.18,1003.91,7.15,15.36,60.64,Cloudy
Central,1,21.77,41.27,1016.17,16.12,5.0,5.94,Sunny
West,6,24.05,73.53,1011.13,8.14,14.0,57.82,Rain
South,2,23.86,63.57,1013.16,7.09,13.41,53.51,Cloudy
South,8,27.27,91.11,1003.11,18.61,25.31,100.0,Storm
East,7,22.94,83.64,1006.41,10.87,19.0,86.6,Rain
East,6,22.53,89.94,1000.59,10.41,35.12,95.89,Storm
South,6,25.94,82.96,1001.72,10.53,19.54,78.55,Rain
East,5,33.41,72.85,1010.78,11.65,12.89,39.21,Rain
North,12,21.77,27.51,1018.47,13.99,10.46,46.17,Fog
North,7,20.11,71.14,1009.9,5.69,15.0,61.89,Rain
East,11,24.54,83.96,1003.57,17.39,13.89,55.27,Rain
North,7,21.54,74.14,1003.14,8.1,15.0,66.41,Rain
North,2,18.08,26.22,1015.49,8.9,3.5,33.28,Fog
East,12,18.48,50.73,1009.76,11.55,13.21,58.83,Cloudy
South,10,29.7,80.88,1009.42,18.67,16.69,42.01,Rain
West,1,19.76,41.57,1007.71,9.75,2.5,8.57,Cloudy
South,12,21.89,54.09,1010.46,6.02,13.44,60.26,Sunny
East,7,26.39,85.25,1005.31,16.59,23.56,64.09,Rain
West,1,22.38,59.28,1004.83,10.27,9.18,28.14,Cloudy
East,10,28.21,73.5,1012.01,8.27,13.76,67.56,Rain
South,3,34.05,66.28,1009.7,14.07,9.85,32.36,Sunny
South,1,21.7,49.4,1012.49,12.49,7.36,21.23,Cloudy
South,12,18.26,57.4,1010.12,14.87,7.0,11.57,Sunny
South,2,23.86,56.36,1012.76,10.59,7.0,27.91,Sunny
North,10,21.3,63.81,1012.84,7.03,10.69,19.78,Cloudy
Central,2,23.9,53.93,1002.71,17.26,7.49,20.51,Cloudy
East,7,22.32,80.9,1008.73,9.79,19.0,56.61,Rain
East,9,26.72,82.66,995.96,5.77,27.03,99.84,Rain
Central,11,31.75,70.65,1006.31,12.7,10.5,53.85,Sunny
West,12,19.42,42.05,1011.27,15.95,2.5,4.16,Cloudy
East,8,20.62,81.71,1006.71,19.52,22.17,73.43,Rain
East,6,25.36,87.32,1012.76,12.41,23.11,100.0,Rain
Central,8,23.82,71.89,1009.86,9.16,22.4,73.31,Rain
East,8,24.56,93.11,1010.12,13.71,19.64,57.28,Rain
Central,1,22.03,44.39,1005.65,14.74,12.74,41.59,Sunny
North,3,29.47,52.16,1010.63,16.44,10.04,27.43,Cloudy
South,7,28.14,88.87,1006.97,12.5,31.84,100.0,Rain
North,1,17.43,40.95,1009.67,7.88,11.0,44.28,Fog
East,6,26.79,89.96,1000.4,22.47,26.6,100.0,Storm
North,3,28.47,37.79,1013.61,9.49,10.53,35.36,Cloudy
East,8,24.4,86.02,1009.91,10.01,19.0,88.44,Rain
East,3,34.05,63.93,1015.45,13.14,13.93,56.54,Sunny
West,10,33.63,55.99,1010.18,16.42,11.18,46.37,Cloudy
East,4,33.65,57.55,1018.69,13.25,8.5,32.33,Cloudy
East,4,33.27,66.89,1007.93,14.76,23.55,89.45,Cloudy
West,1,16.66,32.11,1010.76,9.69,5.8,8.93,Cloudy
East,1,19.54,45.68,1009.45,13.06,16.06,36.13,Sunny
Central,12,16.25,44.95,1010.09,20.79,5.35,12.52,Sunny
North,4,31.94,50.12,1007.16,12.84,9.24,35.91,Sunny
Central,7,25.41,85.99,1014.07,9.67,16.5,76.43,Rain
Central,10,32.04,70.67,1006.14,17.84,24.44,76.76,Rain
Central,8,21.39,77.53,1011.67,18.58,24.99,77.46,Rain
North,7,22.64,61.54,1004.37,9.64,15.0,58.19,Rain
North,10,17.1,52.92,1009.78,18.06,9.0,7.3,Cloudy
South,8,28.9,81.08,1010.16,10.22,18.5,91.29,Rain
East,7,19.27,79.73,1006.86,12.47,19.0,50.63,Rain
West,2,22.62,41.05,1008.14,10.39,3.79,17.93,Sunny
South,12,27.91,43.63,1007.92,9.32,7.93,46.67,Sunny
North,5,29.01,44.07,1015.11,15.99,4.5,19.35,Cloudy
West,12,17.7,45.37,1016.83,11.14,2.5,7.23,Sunny
Central,3,35.64,50.43,1010.78,8.77,10.35,35.55,Sunny
South,8,26.25,75.15,1009.79,12.26,24.5,67.27,Rain
West,3,34.2,60.29,1010.08,6.6,6.68,7.51,Sunny
North,1,18.55,32.42,1013.44,1.0,8.26,33.35,Sunny
South,1,21.27,53.25,1015.96,16.93,14.5,28.27,Sunny
North,1,7.95,32.71,1014.22,16.17,3.5,15.72,Sunny
South,3,36.7,53.83,1005.41,10.14,8.0,30.77,Sunny
North,10,25.43,64.49,1002.12,7.61,19.0,74.98,Cloudy
South,7,31.61,83.79,1005.17,10.97,18.64,62.17,Rain
Central,9,22.78,88.24,1004.35,19.02,20.05,76.29,Rain
West,12,21.17,29.51,1014.29,16.02,19.24,55.67,Sunny
Central,3,33.46,46.7,1010.89,11.58,13.0,45.65,Sunny
East,9,28.37,95.43,1006.75,7.06,19.0,57.82,Rain
North,12,14.16,20.03,1000.95,5.2,14.95,56.52,Fog
South,9,25.9,94.05,1005.25,10.34,18.62,77.52,Rain
East,11,27.14,82.64,1009.78,12.69,13.0,42.99,Rain
West,9,26.49,71.9,1000.03,6.89,22.76,71.0,Rain
East,4,30.55,62.1,1009.62,1.21,12.32,56.92,Cloudy
Central,12,23.92,56.81,1016.6,14.88,5.0,3.26,Cloudy
West,1,25.14,48.48,1013.03,15.34,12.45,44.96,Sunny
North,4,33.4,56.65,1012.0,8.66,4.5,18.29,Sunny
West,11,29.09,77.31,1007.69,5.43,8.31,20.87,Cloudy
East,12,19.67,49.3,1012.48,5.38,15.07,48.42,Cloudy
Central,2,18.65,36.86,1010.43,11.11,16.59,35.17,Sunny
West,5,28.53,42.75,1015.55,9.97,3.5,27.21,Sunny
North,1,20.91,43.64,1018.78,5.88,9.28,26.81,Fog
South,8,26.71,79.73,1001.4,23.3,30.67,92.58,Storm
East,2,24.69,56.26,1016.17,3.74,7.5,38.25,Cloudy
Central,1,15.9,46.83,1008.01,10.55,5.0,9.78,Cloudy
North,3,31.48,57.56,1007.0,10.38,6.54,41.21,Cloudy
South,9,30.13,92.08,1005.57,11.4,29.12,100.0,Rain
North,5,25.42,35.01,1014.87,3.83,10.89,47.54,Sunny
West,8,28.84,64.17,1007.96,14.61,14.0,69.7,Rain
South,8,24.72,91.95,1001.13,16.96,25.18,95.64,Rain
Central,8,23.05,77.94,1003.31,11.43,16.5,58.22,Rain
Central,9,27.66,68.51,996.02,14.31,27.61,63.51,Cloudy
West,6,23.89,87.26,1012.7,17.53,14.0,37.27,Rain
North,9,17.95,76.04,1012.18,12.79,21.05,57.74,Rain
South,9,27.38,90.55,1011.31,12.16,21.0,100.0,Rain
South,1,23.58,45.09,1004.53,7.52,11.94,52.62,Sunny
South,10,29.62,63.92,999.11,12.91,12.5,46.2,Sunny
South,3,34.03,47.31,997.77,9.54,8.0,42.77,Sunny
Central,8,27.19,68.51,1008.72,8.28,16.5,73.46,Cloudy
North,1,13.06,43.31,997.6,7.07,22.87,86.68,Fog
North,9,20.89,74.59,1007.44,11.97,26.89,100.0,Rain
West,10,28.74,66.3,1002.96,16.07,23.79,85.5,Cloudy
West,12,22.19,44.82,1015.59,14.02,5.8,33.12,Sunny
North,10,27.11,53.06,1004.44,9.45,9.0,48.84,Sunny
South,5,38.56,87.05,1006.1,8.49,13.52,39.9,Rain
South,6,29.36,84.76,1008.97,19.14,33.41,86.63,Storm
West,8,27.79,82.36,1014.57,5.66,14.0,52.83,Rain
East,6,28.47,66.44,1005.75,9.86,24.95,100.0,Cloudy
Central,5,31.02,50.22,1018.44,9.42,6.0,14.09,Sunny
East,2,18.73,38.07,1015.34,4.1,7.5,29.14,Sunny
East,5,33.21,67.53,1010.98,8.43,8.82,41.08,Sunny
Central,5,33.76,58.61,1012.04,14.33,6.0,17.21,Cloudy
East,7,28.8,78.89,1007.22,9.88,19.0,75.34,Rain
South,8,22.09,83.47,1004.37,13.92,24.32,93.04,Rain
East,11,29.86,75.65,1003.58,11.45,13.0,49.26,Rain
North,10,22.69,52.94,1001.57,12.98,9.0,44.49,Sunny
West,1,19.75,33.4,1010.04,6.67,5.99,22.06,Sunny
Central,10,26.1,70.78,1004.27,18.37,23.58,100.0,Rain
East,12,19.62,61.63,1013.95,15.91,13.31,41.91,Cloudy
West,7,27.11,71.45,1012.29,13.73,31.15,78.05,Rain
North,3,25.0,41.82,1005.8,14.57,13.79,50.57,Sunny
East,7,28.63,81.19,999.04,11.98,19.0,66.22,Rain
West,5,39.42,65.16,1008.07,17.8,3.5,1.96,Cloudy
East,1,17.67,58.02,1006.52,14.7,7.5,30.01,Sunny
South,6,34.28,78.04,1004.92,14.74,29.23,100.0,Rain
South,7,25.24,86.36,1002.03,11.4,18.5,64.18,Rain
North,7,22.36,83.82,1011.28,15.37,15.0,65.83,Rain
North,7,22.52,64.79,1007.92,11.67,21.68,87.42,Rain
North,2,20.39,57.63,1012.04,8.6,13.82,58.01,Fog
North,1,18.92,23.72,1017.91,4.94,3.5,13.0,Sunny
East,5,27.91,59.59,1008.46,8.05,8.5,24.8,Sunny
West,5,37.81,48.74,1004.57,5.18,3.5,7.6,Sunny
East,3,38.24,61.12,1009.03,9.13,11.24,40.38,Cloudy
East,9,21.09,77.16,1003.07,16.31,24.1,82.8,Rain
Central,11,22.67,72.7,1007.73,11.57,13.1,57.19,Rain
Central,2,15.09,45.52,1013.63,11.58,5.0,18.25,Sunny
South,6,29.91,71.22,1005.02,23.06,26.28,63.95,Storm
Central,12,21.12,47.5,1006.55,11.45,5.0,9.76,Cloudy
Central,12,13.19,45.53,1005.3,11.49,5.0,17.01,Cloudy
East,9,24.59,83.92,1004.53,19.53,19.0,68.48,Rain
West,10,26.35,66.02,1003.45,12.88,8.0,27.27,Sunny
West,2,19.29,60.71,1013.18,15.76,2.5,0.0,Sunny
South,11,31.22,76.67,1009.84,9.62,13.94,47.44,Rain
South,8,33.94,89.76,1006.86,18.04,26.72,100.0,Storm
South,9,28.79,83.14,1018.99,7.81,23.81,80.59,Rain
West,12,18.41,40.92,1009.2,10.1,20.91,47.2,Sunny
North,3,31.96,35.7,1017.69,4.63,4.5,2.63,Sunny
East,8,24.24,74.37,1005.6,18.55,34.24,100.0,Storm
West,4,32.02,47.72,1019.28,7.82,5.14,2.2,Cloudy
South,3,32.11,56.88,1012.65,8.2,8.0,12.82,Sunny
East,5,36.98,61.5,1003.3,17.04,10.9,34.03,Sunny
South,12,19.92,49.05,1008.69,19.49,7.0,35.09,Sunny
South,9,30.01,85.04,1008.56,15.23,25.09,80.41,Rain
Central,1,24.22,34.96,1006.34,6.57,19.03,39.31,Cloudy
Central,7,25.01,87.94,1005.54,23.05,16.5,33.27,Rain
South,12,21.71,48.72,1012.17,7.81,9.74,34.89,Sunny
East,5,30.49,65.1,1001.25,14.68,11.41,40.77,Cloudy
North,9,25.21,62.58,1016.89,12.46,15.0,43.46,Cloudy
West,12,20.46,39.77,1017.34,10.85,12.14,24.05,Cloudy
South,8,29.9,88.71,1005.13,15.54,22.1,74.96,Rain
South,8,27.31,94.64,1000.47,14.44,21.03,94.78,Rain
Central,8,21.42,65.87,1011.13,22.48,18.45,53.98,Rain
Central,6,22.62,80.0,1012.3,6.16,16.5,73.99,Rain
North,9,20.61,74.19,1005.43,16.5,24.86,63.37,Rain
East,3,33.58,57.09,1015.19,11.44,8.5,28.21,Cloudy
West,11,21.23,56.52,1000.14,11.5,14.81,47.59,Cloudy
Central,1,21.02,49.5,1004.45,8.55,17.25,80.22,Sunny
South,1,24.22,53.71,1011.29,10.09,16.43,54.18,Cloudy
North,1,16.41,32.15,1008.79,4.17,6.0,20.42,Fog
East,1,23.01,50.76,1013.59,18.99,16.24,59.01,Cloudy
East,3,35.99,65.46,1010.84,14.4,20.92,96.64,Cloudy
East,3,34.92,56.13,1008.73,15.87,12.77,46.31,Cloudy
West,2,24.61,53.09,1009.57,13.77,9.89,38.54,Cloudy
South,1,20.95,45.21,1007.14,14.22,13.17,29.34,Sunny
South,3,31.49,53.99,1016.24,19.26,16.73,76.13,Cloudy
Central,8,26.71,84.96,1009.93,14.15,33.01,100.0,Rain
North,7,21.88,70.92,1009.37,9.63,16.35,53.2,Rain
East,9,27.96,92.7,1019.89,18.23,19.0,74.53,Rain
North,7,23.27,75.09,1007.64,12.6,15.0,39.06,Rain
Central,4,30.23,43.05,1015.31,14.14,10.94,26.69,Sunny
West,1,28.23,35.88,1010.3,18.19,7.89,29.82,Sunny
East,6,27.78,84.77,1005.81,11.4,25.25,81.07,Rain
West,11,22.45,70.89,1012.59,4.23,8.0,31.42,Sunny
North,7,22.16,79.41,1005.41,5.47,15.0,60.2,Rain
South,2,26.19,44.16,1003.38,14.17,24.02,82.55,Cloudy
North,5,38.48,41.53,1015.63,5.95,4.53,36.03,Sunny
West,8,20.86,81.31,1009.82,11.29,14.0,37.92,Rain
South,12,24.67,57.51,1017.38,19.26,7.0,21.12,Cloudy
East,5,24.75,58.63,1007.3,2.87,18.11,49.27,Cloudy
North,9,25.39,78.28,1008.96,7.94,15.15,44.92,Rain
South,3,31.08,50.19,1006.75,19.25,10.27,29.3,Sunny
East,10,27.59,82.02,999.13,6.1,19.46,67.08,Rain
North,2,15.91,39.06,1010.47,5.74,6.62,12.71,Fog
West,12,23.68,42.44,1011.7,3.83,2.5,17.81,Sunny
North,4,24.92,45.82,1009.79,10.72,10.86,54.08,Sunny
Central,5,28.54,49.08,1003.73,11.09,9.53,61.88,Cloudy
Central,10,24.46,75.91,1002.04,9.19,10.8,31.27,Cloudy
East,11,28.68,73.36,1005.04,15.4,14.49,63.22,Rain
West,9,25.94,67.84,1005.72,15.07,16.9,71.45,Cloudy
Central,10,24.46,58.42,1009.46,5.15,16.24,46.1,Sunny
West,1,22.91,40.82,1005.34,7.27,2.5,15.24,Sunny
North,4,28.54,50.78,1006.06,16.78,4.5,0.0,Sunny
East,1,18.58,48.45,1015.97,8.04,13.34,39.64,Cloudy
North,2,17.35,30.62,1010.34,11.0,6.96,50.25,Fog
East,6,22.03,86.75,999.87,14.51,28.46,100.0,Rain
South,10,25.3,76.29,1010.13,13.93,13.18,59.68,Rain
West,9,21.56,76.84,1017.0,8.57,14.0,63.37,Rain
North,10,25.61,65.31,1009.52,5.49,9.87,35.76,Sunny
Central,11,26.89,71.65,1007.36,6.61,14.59,59.02,Rain
South,3,33.57,53.73,1000.08,9.8,8.0,23.32,Cloudy
South,1,22.0,60.3,1016.6,15.01,14.77,19.5,Cloudy
West,4,29.21,50.05,1009.72,9.85,4.85,23.83,Sunny
Central,10,24.48,77.26,997.82,12.92,21.06,74.9,Rain
North,5,29.61,40.3,1015.9,7.35,7.38,13.97,Cloudy
South,1,25.24,58.56,1011.04,4.62,11.82,58.94,Sunny
West,1,19.12,51.34,1009.2,11.56,5.12,31.86,Cloudy
West,10,30.2,54.69,1016.13,5.24,9.29,29.44,Cloudy
East,10,29.6,73.65,1004.66,13.83,18.4,72.12,Rain
Central,4,29.0,53.61,1007.26,16.25,7.53,24.94,Sunny
North,1,11.73,30.0,1013.21,19.95,9.6,39.07,Sunny
South,11,25.85,73.07,1015.27,14.1,12.5,47.14,Rain
Central,12,17.93,33.57,1012.52,11.98,14.32,55.61,Sunny
South,6,27.97,95.03,1002.88,15.17,21.62,78.15,Rain
East,9,27.54,79.4,1003.47,15.92,19.0,43.0,Rain
South,11,26.04,79.07,1008.29,7.94,29.65,100.0,Rain
West,7,18.97,87.11,999.57,13.48,26.16,84.89,Rain
Central,10,25.89,66.05,1000.95,8.05,10.5,30.13,Cloudy
North,11,23.62,56.48,1007.24,24.96,16.66,52.53,Sunny
North,4,26.92,43.52,1011.19,5.34,4.5,0.0,Cloudy
North,7,28.91,62.45,1005.29,16.15,17.1,50.88,Cloudy
West,6,27.75,67.93,1001.05,7.1,14.8,50.72,Cloudy
South,6,31.7,97.66,1000.99,6.73,24.68,70.61,Rain
Central,10,22.48,69.54,1012.13,13.15,14.22,45.35,Sunny
East,10,25.21,73.62,1003.61,19.37,31.71,92.86,Storm
East,7,28.3,86.5,1005.9,18.28,28.21,76.4,Storm
East,12,18.35,49.63,1007.8,10.4,7.5,12.27,Cloudy
West,1,20.8,39.58,1001.33,9.65,2.82,23.3,Sunny
Central,3,28.14,51.5,1004.43,9.45,8.39,34.63,Cloudy
Central,8,24.26,79.94,1009.65,9.8,17.19,55.83,Rain
East,12,23.11,45.88,1014.56,9.48,10.17,34.11,Sunny
Central,2,16.59,43.28,1003.88,6.43,17.85,74.93,Sunny
Central,7,25.42,76.63,1008.33,21.16,19.62,91.85,Rain
West,4,31.67,49.64,1004.49,4.21,4.53,15.84,Sunny
West,11,27.74,70.69,1008.98,17.67,17.08,49.36,Rain
South,1,24.74,49.76,1015.06,2.08,8.79,32.61,Sunny
Central,4,28.39,59.7,1014.08,13.3,6.0,44.29,Sunny
East,10,33.0,80.62,1007.68,6.45,13.0,54.2,Rain
Central,2,18.19,48.71,1007.47,10.04,10.65,49.63,Cloudy
West,1,20.16,49.61,1013.92,11.33,16.2,40.66,Cloudy
West,12,19.76,49.08,1008.64,9.52,6.46,30.08,Cloudy
Central,5,35.49,53.17,1004.43,8.45,10.05,40.52,Sunny
West,3,38.28,40.51,1008.32,8.86,3.5,20.59,Sunny
South,12,23.95,51.87,1005.32,7.8,7.0,34.29,Cloudy
Central,7,26.51,82.81,1012.55,17.55,19.29,73.15,Rain
South,12,26.41,50.49,1012.35,10.15,7.0,31.42,Cloudy
North,4,28.28,40.04,1014.01,9.74,9.96,21.29,Sunny
North,12,15.96,30.1,1011.86,7.42,3.5,32.11,Fog
Central,3,30.89,50.56,1014.48,17.77,7.66,29.41,Cloudy
Central,12,16.44,46.02,1009.74,17.2,5.0,14.88,Cloudy
South,4,33.75,53.41,1010.93,7.43,8.0,34.11,Cloudy
North,9,17.3,66.09,1004.28,8.39,29.73,100.0,Cloudy
South,8,28.49,93.53,1003.01,16.64,26.96,100.0,Rain
East,11,28.38,77.65,1003.01,11.66,16.41,35.87,Rain
North,3,28.78,42.38,1011.01,10.42,15.36,53.1,Sunny
West,6,30.08,74.07,997.66,19.51,14.0,59.52,Rain
East,4,32.09,52.23,1005.53,13.4,17.67,40.91,Sunny
North,7,25.13,70.01,1004.55,10.8,24.12,62.76,Rain
Central,11,22.62,66.77,1002.49,9.7,17.22,55.87,Cloudy
North,10,20.83,65.02,1009.55,12.02,17.74,67.34,Cloudy
South,9,30.77,89.75,1004.02,18.78,27.71,100.0,Storm
Central,6,32.31,82.17,1005.83,15.12,23.69,72.24,Rain
South,7,31.46,90.16,1014.47,10.96,18.72,39.92,Rain
North,8,22.83,72.13,1015.79,13.34,17.3,34.77,Rain
East,6,30.15,82.12,1006.1,16.44,24.54,68.35,Rain
East,10,26.03,73.79,1005.88,12.22,28.67,100.0,Rain
South,4,38.0,68.07,1012.3,9.83,12.12,54.27,Sunny
West,3,32.05,39.01,1005.45,14.77,3.5,16.18,Sunny
East,10,31.05,77.59,1005.62,6.4,13.0,50.2,Rain
West,11,24.5,72.85,1009.28,17.14,8.56,8.11,Sunny
North,2,15.29,30.21,1013.17,10.47,7.97,31.82,Fog
West,3,36.69,42.71,1011.82,13.74,3.5,14.92,Sunny
North,4,27.23,51.43,1007.5,14.79,4.5,0.0,Cloudy
West,1,14.01,36.08,1013.86,14.97,4.47,2.66,Cloudy
West,4,34.92,39.63,1010.01,11.08,3.77,19.26,Sunny
North,4,32.32,41.11,1005.81,8.7,16.71,60.07,Sunny
East,8,20.69,88.46,1002.62,16.15,29.72,100.0,Rain
East,7,27.33,89.21,1004.62,14.36,28.55,100.0,Rain
North,9,24.92,79.79,999.56,18.78,20.55,80.19,Rain
West,4,36.02,54.75,1011.29,8.26,3.5,31.03,Cloudy
West,12,23.8,29.74,1004.93,16.77,15.31,47.01,Sunny
Central,3,31.8,76.88,1016.4,14.91,9.1,13.76,Cloudy
South,9,31.76,82.06,1008.53,11.24,22.48,71.04,Rain
West,5,29.47,33.75,1014.13,17.5,11.49,41.67,Sunny
East,8,27.51,87.12,995.76,11.56,23.44,100.0,Rain
North,1,14.13,31.84,1007.89,7.81,17.54,49.92,Sunny
South,11,23.1,78.71,1005.94,20.97,18.13,70.89,Rain
Central,5,34.66,51.22,1003.95,9.77,13.14,40.7,Sunny
West,10,29.65,75.62,1008.88,14.81,10.83,52.73,Sunny
North,12,13.62,27.87,1001.0,9.38,12.47,31.24,Fog
West,2,21.54,36.34,1010.97,14.03,11.58,44.2,Cloudy
East,8,27.12,90.54,1002.51,13.08,28.93,93.43,Rain
South,2,22.13,45.13,1009.59,20.45,7.0,0.0,Sunny
East,7,26.45,74.75,1006.92,14.18,19.0,58.53,Rain
North,10,21.99,60.25,1012.19,10.15,9.0,20.87,Cloudy
North,11,19.25,71.62,1004.4,11.8,9.0,38.58,Cloudy
South,2,23.58,43.69,1013.89,14.9,13.32,62.52,Cloudy
Central,10,27.57,80.47,1005.71,6.87,13.3,49.56,Rain
South,11,28.38,69.55,1012.64,2.94,18.5,61.33,Cloudy
Central,8,23.52,80.63,1007.33,21.46,24.08,78.72,Rain
South,11,27.86,71.5,1005.92,10.01,12.5,36.91,Rain
North,5,28.58,36.15,1011.41,11.95,5.95,9.93,Cloudy
West,5,40.98,64.84,1014.23,8.99,3.5,0.45,Cloudy
North,3,29.97,49.94,1005.83,17.13,10.62,41.26,Sunny
East,8,22.73,78.53,1005.23,16.4,19.44,55.49,Rain
South,1,20.38,49.79,1006.58,6.92,8.59,28.02,Sunny
South,3,36.61,71.98,1006.85,7.67,17.25,54.86,Rain
West,6,26.86,79.56,1008.53,9.6,14.0,49.45,Rain
South,9,34.15,80.23,998.51,12.2,25.82,89.54,Rain
Central,3,31.85,60.87,1016.59,12.73,6.0,19.24,Cloudy
North,3,34.67,50.0,1007.72,3.91,4.5,9.13,Cloudy
South,2,21.36,52.28,1014.44,9.41,10.84,32.19,Sunny
South,11,26.68,76.57,1010.69,10.17,20.83,82.05,Rain
Central,8,24.72,78.84,1015.59,15.02,16.5,70.97,Rain
Central,12,15.37,44.11,1012.87,13.65,15.32,69.46,Cloudy
East,8,31.33,89.42,1007.35,15.61,24.04,100.0,Rain
East,2,18.15,39.73,1007.84,13.8,11.01,37.72,Cloudy
Central,9,31.32,78.37,1007.54,13.35,21.59,69.04,Rain
West,10,27.72,70.92,1005.8,17.98,9.58,41.27,Sunny
Central,5,32.8,55.49,1017.06,17.34,6.0,9.15,Cloudy
North,4,26.98,40.4,1014.08,19.19,19.16,26.7,Sunny
North,8,25.6,70.37,1007.67,11.78,15.0,47.83,Rain
Central,10,22.49,82.87,1002.46,16.69,24.75,77.06,Rain
South,3,31.41,66.25,1017.71,11.44,14.23,58.54,Sunny
West,11,25.6,66.9,1006.37,10.68,15.03,32.87,Cloudy
South,4,37.25,69.86,1008.13,11.45,8.0,36.55,Cloudy
Central,4,36.02,62.79,1012.98,9.7,9.16,43.56,Sunny
Central,6,28.73,90.35,1018.93,9.78,16.5,54.47,Rain
Central,9,24.55,71.31,1009.34,16.96,18.78,55.15,Rain
North,10,21.37,58.96,1010.32,6.38,11.97,41.29,Sunny
East,3,37.37,69.08,1001.23,15.41,22.15,63.63,Cloudy
Central,7,33.59,82.12,1003.25,21.16,16.5,58.92,Rain
Central,8,25.54,77.26,993.85,22.62,17.64,50.9,Rain
East,7,27.03,92.61,1000.85,15.25,24.79,73.92,Rain
North,9,20.06,64.9,1006.05,13.96,25.33,61.93,Rain
West,2,21.69,41.56,1014.04,11.48,12.45,48.91,Cloudy
East,8,27.76,90.75,1012.08,17.81,25.74,100.0,Rain
Central,2,16.5,39.0,1004.28,8.82,5.0,26.68,Sunny
East,3,35.3,57.85,1005.61,10.45,8.5,29.45,Cloudy
West,5,29.53,39.24,1018.21,5.15,3.99,13.46,Cloudy
South,12,23.72,50.43,1007.37,8.48,9.06,42.73,Cloudy
South,7,23.78,84.75,1009.07,6.67,18.5,71.49,Rain
West,7,22.89,72.02,1021.37,11.38,30.27,80.78,Rain
South,9,23.4,86.29,1005.82,17.45,18.5,79.61,Rain
North,11,23.98,65.74,1011.83,17.18,9.0,27.33,Cloudy
East,4,31.38,62.31,1011.59,9.36,9.72,38.68,Sunny
West,12,11.92,35.77,1008.49,10.22,2.5,2.96,Cloudy
West,6,26.79,72.05,1008.52,13.63,14.42,34.85,Rain
West,5,36.78,55.35,1019.08,10.85,12.35,37.84,Sunny
East,8,31.27,97.38,1012.12,8.02,19.0,54.9,Rain
East,3,40.5,62.19,1001.94,9.01,14.23,41.03,Cloudy
East,12,19.59,47.45,1001.73,12.03,8.68,20.78,Cloudy
South,6,28.19,85.94,1001.66,13.38,18.73,91.04,Rain
West,5,33.33,58.07,1011.1,4.49,9.69,38.57,Cloudy
East,11,30.67,71.46,1007.42,16.24,17.59,82.67,Rain
West,9,21.66,59.02,1005.26,11.37,21.72,97.56,Rain
West,11,32.58,70.56,1006.67,11.65,12.99,38.92,Rain
North,11,22.47,52.18,1001.61,20.63,18.15,75.32,Sunny
South,11,27.14,87.15,1001.1,17.34,16.85,39.38,Rain
North,6,26.06,72.78,1006.5,10.26,15.0,51.82,Rain
West,5,37.34,53.19,1003.56,11.07,9.51,34.94,Sunny
North,12,15.53,51.63,1018.1,11.39,3.5,12.38,Sunny
West,6,24.97,75.58,1012.11,12.49,14.0,38.92,Rain
Central,4,27.57,48.14,1005.34,12.58,16.19,63.94,Cloudy
South,7,29.11,90.24,1006.06,11.93,18.5,56.98,Rain
East,3,31.15,67.56,1006.65,6.55,8.5,39.79,Sunny
North,4,31.58,37.46,1005.32,11.04,8.08,21.56,Sunny
South,9,26.02,81.46,997.54,10.59,18.5,45.48,Rain
South,3,33.72,73.48,1010.71,5.84,8.0,43.71,Sunny
West,3,32.09,56.83,1007.11,7.15,3.92,0.0,Cloudy
Central,5,33.89,51.57,1014.79,10.54,6.0,15.37,Cloudy
East,10,26.77,63.39,1001.22,13.58,13.0,57.92,Cloudy
North,11,19.57,67.0,1016.03,13.72,9.0,27.28,Cloudy
North,9,17.93,71.86,1005.42,16.27,20.93,94.7,Rain
South,10,30.0,75.12,1009.74,13.22,22.4,91.03,Rain
